,l1,l2,l3,s1,s2,s3
857,0,1,0,-1,1,0
858,0,1,0,1,0,0
859,1,0,0,0,2,0
860,1,0,0,-2,1,0
861,2,0,0,2,4,0
862,0,0,0,-1,1,0
863,0,0,0,-2,0,0
864,0,1,0,-1,2,0
865,0,0,0,0,0,0
866,0,0,0,1,0,0
867,1,1,0,1,1,0
868,0,2,0,5,3,0
869,1,0,1,1,1,0
870,0,1,0,1,0,0
871,0,1,0,-1,1,0
872,3,1,0,0,1,0
873,0,0,0,1,2,0
874,1,0,0,1,1,0
875,1,0,0,1,1,0
876,2,1,0,0,1,0
877,1,0,0,4,0,0
878,0,2,0,2,0,0
879,-1,0,0,0,0,0
880,0,1,0,0,1,0
881,0,0,0,0,1,0
882,2,0,0,4,0,0
883,0,0,0,4,1,0
884,-1,0,0,0,-1,0
885,3,0,0,0,1,0
886,0,0,0,4,0,0
887,0,1,0,-2,2,0
888,0,0,0,1,4,0
889,0,1,0,0,1,0
890,0,1,0,3,-1,0
891,0,1,0,1,0,0
892,0,1,0,1,-1,0
893,0,2,0,-1,2,0
894,1,1,0,0,2,0
895,0,0,0,-2,0,0
896,0,0,0,0,1,0
897,1,0,0,4,2,0
898,0,0,0,2,1,0
899,0,0,0,0,1,0
900,2,0,0,3,2,0
901,1,0,0,1,0,0
902,2,1,0,4,0,0
903,4,0,0,-1,1,0
904,0,1,0,2,0,0
905,0,1,0,3,2,0
906,1,0,0,1,0,0
907,2,0,0,3,0,0
908,2,4,0,3,0,0
909,1,0,0,0,2,0
910,0,0,0,1,1,0
911,1,1,0,0,1,0
912,2,0,0,2,2,0
913,0,1,0,1,1,0
914,0,0,0,-2,0,0
915,1,0,0,1,1,0
916,0,0,0,1,2,0
917,0,1,0,-1,0,0
918,0,0,0,1,0,0
919,0,0,0,0,0,0
920,0,0,0,1,0,0
921,2,0,0,4,1,0
922,0,0,0,3,1,0
923,2,1,0,-2,0,0
924,0,0,0,3,0,0
925,0,0,0,1,1,0
926,3,0,0,0,1,0
927,3,0,0,7,1,0
928,0,0,0,0,0,0
929,0,0,0,2,1,0
930,0,0,0,2,2,0
931,0,0,0,0,1,0
932,0,0,0,2,1,0
933,0,1,0,0,1,0
934,0,0,0,3,3,0
935,0,0,0,1,0,0
936,3,1,0,3,2,0
937,1,1,0,0,1,0
938,0,0,0,-1,0,0
939,0,2,1,1,1,0
940,0,0,0,2,1,0
941,0,2,0,3,0,0
942,0,1,0,1,1,0
943,0,0,0,1,2,0
944,0,2,0,0,0,0
945,0,0,0,0,2,0
946,0,0,0,-2,0,0
947,0,1,0,0,0,0
948,1,1,0,-2,-1,0
949,0,0,0,0,-1,0
950,1,0,0,1,0,0
951,0,0,0,1,0,0
952,1,1,0,6,2,0
953,1,1,0,4,0,0
954,1,1,0,1,1,0
955,0,0,0,2,1,0
956,0,2,0,1,0,0
957,0,0,0,3,2,0
958,1,1,0,2,2,0
959,2,0,0,6,3,0
960,1,-1,0,1,1,0
961,0,0,0,2,1,0
962,3,0,0,1,1,0
963,0,0,0,0,2,0
964,0,0,0,5,1,0
965,2,0,0,1,1,0
966,0,0,0,-2,0,0
967,0,0,0,2,0,0
968,0,2,0,2,0,0
969,1,0,0,1,1,0
970,0,1,0,1,1,0
971,1,1,0,0,1,0
972,0,2,0,1,0,0
973,1,0,0,-1,0,0
974,0,1,0,1,2,0
975,0,0,0,6,2,0
976,0,0,0,0,1,0
977,0,0,0,1,0,0
978,1,0,0,0,2,0
